#name,region,country,latitude,longitude,location_type,conflict_date,population
Lviv,Ukraine,Ukraine,49.83826,24.02324,town,,717803
Marhanets,Ukraine,Ukraine,47.63543,34.62769,town,,50443
Mukacheve,Ukraine,Ukraine,48.43919,22.71779,town,,81633
Nikopol,Ukraine,Ukraine,47.57119,34.39637,town,,130500
Novohrad-Volynskyi,Ukraine,Ukraine,50.59412,27.6165,town,,55925
Novomoskovsk,Ukraine,Ukraine,48.63799,35.24548,town,,73100
Novovolynsk,Ukraine,Ukraine,50.72576,24.16265,town,,57800
Odessa,Ukraine,Ukraine,46.47747,30.73262,town,,1001558
Oleksandriya,Ukraine,Ukraine,48.66961,33.11593,town,,103000
Poltava,Ukraine,Ukraine,49.59373,34.54073,town,,317847
Rovenky,Ukraine,Ukraine,48.08331,39.37764,town,,53600
Sevastopol,Ukraine,Ukraine,44.58883,33.5224,town,,416263
Shakhtarsk,Ukraine,Ukraine,48.05657,38.43826,town,,71700
Shostka,Ukraine,Ukraine,51.86296,33.4698,town,,85432
Simferopol,Ukraine,Ukraine,44.95719,34.11079,town,,336460
Smila,Ukraine,Ukraine,49.22242,31.88714,town,,67530
Snizhne,Ukraine,Ukraine,48.02612,38.77225,town,,55587
Stryi,Ukraine,Ukraine,49.26223,23.85609,town,,61404
Sverdlovsk,Ukraine,Ukraine,48.08964,39.65243,town,,68000
Ternopil,Ukraine,Ukraine,49.55342,25.58918,town,,235676
Tudorkovychi,Ukraine,Ukraine,50.578843,24.169836,town,,
Uzhgorod,Ukraine,Ukraine,48.61667,22.3,town,,117878
Velika_Kopanya,Ukraine,Ukraine,48.19594,23.14274,town,,
Yalta,Ukraine,Ukraine,44.50218,34.16624,town,,77003
Yenakiyeve,Ukraine,Ukraine,48.23331,38.21137,town,,104101
Yevpatoriya,Ukraine,Ukraine,45.20091,33.36655,town,,106202
Zhovti_Vody,Ukraine,Ukraine,48.34493,33.50374,town,,51559
