country,bilateral_migration,export_trade_share,migrant_ratio,same_language,touching,Total_pop_left_conflict_zone,individualPerCountry,population,gdp_millions,percent_IndividualPerCountry_of_total,v2xeg_eqdr,v2x_libdem,average_pop,average_refugee,average_gdp,total_recored_migrants,percent_IndividualPerCountry_of_recorded,average_eqdr,average_lib,average_bilateral_migration,average_export_trade_share,average_migr_ratio,gdp_per_cap,normalized_pop,normalized_refugee,normalized_gdp,normalized_qrdp,normalized_lib,normalized_migr_ratio,normalized_bilateral_migr,normalized_export_trade,Afghanistan,Burundi,Central African Republic,Democratic Republic of the Congo,Somalia,South Sudan,Syria,Ukraine,Venezuela
Democratic Republic of the Congo,9329,0.05,1.1,1,1,2351680,56351,92377993,54832,0.023962018641992,0.141,0.033,70735661.4,470336,67248.4,2351680,0.023962018641992,0.2604,0.0684,326312.6,0.5712,2.2,0.000593561282502,0.656327750226611,-1.03477195903036,-0.385615341233661,-1.54696180616662,-0.614625943066163,-0.910366477462605,-0.855927690329579,-0.446356701543714,0,0,0,0,0,1,0,0,0
Democratic Republic of the Congo,41654,11.01,1.1,1,1,263736,40529,92377993,54832,0.153672612005945,0.141,0.033,52168663,65934,44427,263736,0.153672612005945,0.287,0.176,101020.25,4.41,3.025,0.000593561282502,1.19953531959193,-0.624955972788617,0.415267677001575,-0.744762264135789,-1.00115118524432,-1.34475167064916,-0.666740806624336,1.46946069354401,0,1,0,0,0,0,0,0,0
Democratic Republic of the Congo,275050,0.5,1.1,1,1,737973,210499,92377993,54832,0.285239432878981,0.141,0.033,33218828.8333333,122973.5,27318.1666666667,737841,0.285290462308275,0.1785,0.048,117327.333333333,2.34183333333333,3.01666666666667,0.000593561282502,1.8404839752361,0.651800735508534,1.3261988197264,-0.407832814722178,-0.561046667558512,-0.765952111333109,1.21647851558935,-0.344470037693725,0,0,1,0,0,0,0,0,0
Dominican Republic,19680,0,5.3,1,0,5041821,115283,10878246,89502,0.02286534964252,0.218,0.085,47759959.8181818,449712.909090909,415191.363636364,4946842,0.023304362662078,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.008227613164843,-0.565044095267417,-0.569367437991324,-0.599658186861789,-1.35359916585362,-1.26461878299936,0.652109156023074,0.526831278504957,-0.693040980197184,0,0,0,0,0,0,0,0,1
Ecuador,12695,0.02,2.2,1,0,5041821,508935,17715822,104483,0.100942695109565,0.657,0.272,47759959.8181818,449712.909090909,415191.363636364,4946842,0.1028807873791,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.005897722386238,-0.460289420259946,0.100825701460309,-0.572075218854868,0.584873660927855,-0.589126485770151,-0.597156137257084,0.01429511294077,-0.468821839545154,0,0,0,0,0,0,0,0,1
Egypt,174813,3.42,0.5,1,0,5721883,138853,102674145,396328,0.024267011401666,0.171,0.162,49095809.6,1134667,291644.4,5673335,0.02447466966079,0.5292,0.224,1127515,7.318,13.74,0.003860056492314,1.24168562767503,-0.664903165465512,0.327638154927302,-1.66036840367938,-0.347234058386752,-0.862961087797207,-0.751364730024268,-0.537171896776382,0,0,0,0,0,0,1,0,0
Eritrea,2472,0.01,0.5,0,0,633429,80,3600000,2254,0.000126296712023,0.154,0.009,49936392.2,126685.8,53443.2,633429,0.000126296712023,0.2382,0.0676,256562.8,0.068,1.76,0.000626111111111,-1.09076280829689,-1.05238091147771,-1.10620093568421,-0.876883545389337,-0.971112144750619,-0.961300051038035,-1.10328588221452,-0.744446766711949,0,0,0,0,1,0,0,0,0
Ethiopia,475183,0.12,1.1,0,1,633429,228797,117876227,92757,0.361203860259003,0.291,0.015,49936392.2,126685.8,53443.2,633429,0.361203860259003,0.2382,0.0676,256562.8,0.068,1.76,0.000786901671021,1.59930977538805,0.848775314622888,0.849573002611918,0.549874717298776,-0.871680867131101,-0.503538121972304,0.949269238504169,0.667435032224506,0,0,0,0,1,0,0,0,0
Ethiopia,417150,2.66,1.1,0,1,2351680,390612,117876227,92757,0.166099129133215,0.291,0.015,70735661.4,470336,67248.4,2351680,0.166099129133215,0.2604,0.0684,326312.6,0.5712,2.2,0.000786901671021,1.42959002460982,-0.199273306186785,0.792218959875081,0.39645754831406,-0.927147609032009,-0.910366477462605,0.245281604403332,1.78885241401479,0,0,0,0,0,1,0,0,0
Guyana,2132,0,2,0,1,5041821,24500,743700,7395,0.004859355379733,0.669,0.364,47759959.8181818,449712.909090909,415191.363636364,4946842,0.004952654643104,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.009943525615167,-0.720309802380328,-0.723925636041474,-0.750833325647205,0.63786152863031,-0.256798724566476,-0.677753898113869,-0.760782842228093,-0.693040980197184,0,0,0,0,0,0,0,0,1
