ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,min.distance,year
651,200,United Kingdom,UKG,Egypt,EGY,651200,2913.598458,All
651,2,United States of America,USA,Egypt,EGY,6512,7716.93308,All
651,325,Italy,ITA,Egypt,EGY,651325,1076.145888,All
651,255,Germany,GMY,Egypt,EGY,651255,,All
652,220,France,FRN,Syria,SYR,652220,2373.873325,All
652,2,United States of America,USA,Syria,SYR,6522,7865.023582,All
652,255,Germany,GMY,Syria,SYR,652255,,All
652,325,Italy,ITA,Syria,SYR,652325,1594.426779,All
652,365,Russia,RUS,Syria,SYR,652365,605.6703048,All
652,369,Ukraine,UKR,Syria,SYR,652369,870.7357494,All
652,640,Turkey,TUR,Syria,SYR,652640,5.3e-12,All
652,645,Iraq,IRQ,Syria,SYR,652645,6.35e-12,All
652,651,Egypt,EGY,Syria,SYR,652651,216.7356603,All
652,732,South Korea,ROK,Syria,SYR,652732,7154.937061,All
660,255,Germany,GMY,Lebanon,LEB,660255,,All
660,2,United States of America,USA,Lebanon,LEB,6602,8199.686531,All
663,255,Germany,GMY,Jordan,JOR,663255,,All
663,2,United States of America,USA,Jordan,JOR,6632,8326.158371,All
666,20,Canada,CAN,Israel,ISR,66620,6451.530903,All
666,255,Germany,GMY,Israel,ISR,666255,,All
670,255,Germany,GMY,Saudi Arabia,SAU,670255,,All
679,2,United States of America,USA,Yemen,YEM,6792,,All
690,255,Germany,GMY,Kuwait,KUW,690255,,All
690,200,United Kingdom,UKG,Kuwait,KUW,690200,4430.992641,All
696,255,Germany,GMY,United Arab Emirates,UAE,696255,,All
700,2,United States of America,USA,Afghanistan,AFG,7002,7212.742103,All
700,365,Russia,RUS,Afghanistan,AFG,700365,1300.284053,All
700,770,Pakistan,PAK,Afghanistan,AFG,700770,0.0,All
701,365,Russia,RUS,Turkmenistan,TKM,701365,320.1294165,All
702,55,Grenada,GRN,Tajikistan,TAJ,70255,12237.04162,All
704,2,United States of America,USA,Uzbekistan,UZB,7042,6739.200154,All
705,255,Germany,GMY,Kazakhstan,KZK,705255,,All
705,365,Russia,RUS,Kazakhstan,KZK,705365,0.0,All
705,2,United States of America,USA,Kazakhstan,KZK,7052,5397.123634,All
710,560,South Africa,SAF,China,CHN,710560,7810.702218,All
710,220,France,FRN,China,CHN,710220,5155.554784,All
710,20,Canada,CAN,China,CHN,71020,4745.221634,All
710,210,Netherlands,NTH,China,CHN,710210,5115.992334,All
710,211,Belgium,BEL,China,CHN,710211,5242.787414,All
710,225,Switzerland,SWZ,China,CHN,710225,5054.456056,All
710,255,Germany,GMY,China,CHN,710255,,All
710,385,Norway,NOR,China,CHN,710385,3706.499772,All
710,900,Australia,AUL,China,CHN,710900,3959.128398,All
710,2,United States of America,USA,China,CHN,7102,3332.193114,All
710,750,India,IND,China,CHN,710750,0.0,All
710,200,United Kingdom,UKG,China,CHN,710200,5290.890657,All
732,255,Germany,GMY,South Korea,ROK,732255,,All
740,255,Germany,GMY,Japan,JPN,740255,,All
750,2,United States of America,USA,India,IND,7502,7206.106437,All
750,20,Canada,CAN,India,IND,75020,6711.09085,All
750,255,Germany,GMY,India,IND,750255,,All
750,200,United Kingdom,UKG,India,IND,750200,5887.643958,All
