ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,immigrant.population,year
365,369,Ukraine,UKR,Russia,RUS,365369,3233837.0,1960
365,375,Finland,FIN,Russia,RUS,365375,4051.0,1960
365,380,Sweden,SWD,Russia,RUS,365380,8906.0,1960
365,385,Norway,NOR,Russia,RUS,365385,630.0,1960
365,390,Denmark,DEN,Russia,RUS,365390,977.0,1960
365,900,Australia,AUL,Russia,RUS,365900,3920.0,1960
365,200,United Kingdom,UKG,Russia,RUS,365200,46224.0,1960
365,230,Spain,SPN,Russia,RUS,365230,573.0,1960
367,255,Germany,GMY,Latvia,LAT,367255,16411.0,1960
368,255,Germany,GMY,Lithuania,LIT,368255,39538.0,1960
369,2,United States of America,USA,Ukraine,UKR,3692,381955.0,1960
369,365,Russia,RUS,Ukraine,UKR,369365,3500317.0,1960
369,370,Belarus,BLR,Ukraine,UKR,369370,122548.0,1960
369,210,Netherlands,NTH,Ukraine,UKR,369210,454.0,1960
369,211,Belgium,BEL,Ukraine,UKR,369211,1141.0,1960
369,220,France,FRN,Ukraine,UKR,369220,6928.0,1960
369,255,Germany,GMY,Ukraine,UKR,369255,2426.0,1960
369,316,Czech Republic,CZR,Ukraine,UKR,369316,4746.0,1960
369,325,Italy,ITA,Ukraine,UKR,369325,817.0,1960
370,2,United States of America,USA,Belarus,BLR,3702,46247.0,1960
370,255,Germany,GMY,Belarus,BLR,370255,151.0,1960
370,365,Russia,RUS,Belarus,BLR,370365,985601.0,1960
373,2,United States of America,USA,Azerbaijan,AZE,3732,45173.0,1960
373,20,Canada,CAN,Azerbaijan,AZE,37320,1395.0,1960
373,220,France,FRN,Azerbaijan,AZE,373220,226.0,1960
373,255,Germany,GMY,Azerbaijan,AZE,373255,73.0,1960
373,369,Ukraine,UKR,Azerbaijan,AZE,373369,0.0,1960
433,220,France,FRN,Senegal,SEN,433220,2183.0,1960
437,2,United States of America,USA,Ivory Coast,CDI,4372,84.0,1960
437,210,Netherlands,NTH,Ivory Coast,CDI,437210,0.0,1960
437,220,France,FRN,Ivory Coast,CDI,437220,882.0,1960
437,255,Germany,GMY,Ivory Coast,CDI,437255,267.0,1960
437,475,Nigeria,NIG,Ivory Coast,CDI,437475,13.0,1960
450,255,Germany,GMY,Liberia,LBR,450255,39.0,1960
450,385,Norway,NOR,Liberia,LBR,450385,0.0,1960
452,2,United States of America,USA,Ghana,GHA,4522,1049.0,1960
471,325,Italy,ITA,Cameroon,CAO,471325,220.0,1960
471,220,France,FRN,Cameroon,CAO,471220,802.0,1960
475,560,South Africa,SAF,Nigeria,NIG,475560,97.0,1960
475,2,United States of America,USA,Nigeria,NIG,4752,3141.0,1960
475,20,Canada,CAN,Nigeria,NIG,47520,1240.0,1960
475,220,France,FRN,Nigeria,NIG,475220,3892.0,1960
475,255,Germany,GMY,Nigeria,NIG,475255,358.0,1960
475,325,Italy,ITA,Nigeria,NIG,475325,214.0,1960
475,200,United Kingdom,UKG,Nigeria,NIG,475200,15725.0,1960
483,2,United States of America,USA,Chad,CHA,4832,16.0,1960
484,2,United States of America,USA,Congo,CON,4842,0.0,1960
484,220,France,FRN,Congo,CON,484220,0.0,1960
490,211,Belgium,BEL,Democratic Republic of the Congo,DRC,490211,23.0,1960
490,551,Zambia,ZAM,Democratic Republic of the Congo,DRC,490551,8467.0,1960
490,560,South Africa,SAF,Democratic Republic of the Congo,DRC,490560,16.0,1960
501,2,United States of America,USA,Kenya,KEN,5012,848.0,1960
501,200,United Kingdom,UKG,Kenya,KEN,501200,7751.0,1960
530,2,United States of America,USA,Ethiopia,ETH,5302,1415.0,1960
540,2,United States of America,USA,Angola,ANG,5402,141.0,1960
540,20,Canada,CAN,Angola,ANG,54020,79.0,1960
540,140,Brazil,BRA,Angola,ANG,540140,2947.0,1960
540,210,Netherlands,NTH,Angola,ANG,540210,6.0,1960
540,220,France,FRN,Angola,ANG,540220,7698.0,1960
540,255,Germany,GMY,Angola,ANG,540255,314.0,1960
540,560,South Africa,SAF,Angola,ANG,540560,10612.0,1960
540,200,United Kingdom,UKG,Angola,ANG,540200,883.0,1960
552,560,South Africa,SAF,Zimbabwe,ZIM,552560,26957.0,1960
560,551,Zambia,ZAM,South Africa,SAF,560551,16376.0,1960
560,572,Swaziland,SWA,South Africa,SAF,560572,12397.0,1960
560,255,Germany,GMY,South Africa,SAF,560255,123.0,1960
560,552,Zimbabwe,ZIM,South Africa,SAF,560552,41366.0,1960
600,325,Italy,ITA,Morocco,MOR,600325,9169.0,1960
600,255,Germany,GMY,Morocco,MOR,600255,9431.0,1960
615,230,Spain,SPN,Algeria,ALG,615230,0.0,1960
615,255,Germany,GMY,Algeria,ALG,615255,9670.0,1960
615,2,United States of America,USA,Algeria,ALG,6152,322.0,1960
615,20,Canada,CAN,Algeria,ALG,61520,222.0,1960
615,220,France,FRN,Algeria,ALG,615220,626615.0,1960
615,200,United Kingdom,UKG,Algeria,ALG,615200,8385.0,1960
616,255,Germany,GMY,Tunisia,TUN,616255,2573.0,1960
616,325,Italy,ITA,Tunisia,TUN,616325,2368.0,1960
620,2,United States of America,USA,Libya,LIB,6202,595.0,1960
620,220,France,FRN,Libya,LIB,620220,245.0,1960
620,225,Switzerland,SWZ,Libya,LIB,620225,26.0,1960
620,255,Germany,GMY,Libya,LIB,620255,36.0,1960
620,325,Italy,ITA,Libya,LIB,620325,29.0,1960
620,200,United Kingdom,UKG,Libya,LIB,620200,28.0,1960
630,652,Syria,SYR,Iran,IRN,630652,96.0,1960
630,640,Turkey,TUR,Iran,IRN,630640,5077.0,1960
630,210,Netherlands,NTH,Iran,IRN,630210,4.0,1960
630,211,Belgium,BEL,Iran,IRN,630211,106.0,1960
630,220,France,FRN,Iran,IRN,630220,14380.0,1960
630,225,Switzerland,SWZ,Iran,IRN,630225,1049.0,1960
630,255,Germany,GMY,Iran,IRN,630255,7246.0,1960
630,305,Austria,AUS,Iran,IRN,630305,307.0,1960
630,325,Italy,ITA,Iran,IRN,630325,1176.0,1960
630,350,Greece,GRC,Iran,IRN,630350,60.0,1960
630,380,Sweden,SWD,Iran,IRN,630380,113.0,1960
630,770,Pakistan,PAK,Iran,IRN,630770,7102.0,1960
630,200,United Kingdom,UKG,Iran,IRN,630200,4640.0,1960
630,750,India,IND,Iran,IRN,630750,9.0,1960
640,210,Netherlands,NTH,Turkey,TUR,640210,11.0,1960
640,220,France,FRN,Turkey,TUR,640220,45348.0,1960
640,225,Switzerland,SWZ,Turkey,TUR,640225,19619.0,1960
640,350,Greece,GRC,Turkey,TUR,640350,10342.0,1960
640,2,United States of America,USA,Turkey,TUR,6402,54645.0,1960
640,20,Canada,CAN,Turkey,TUR,64020,180.0,1960
640,211,Belgium,BEL,Turkey,TUR,640211,3414.0,1960
640,255,Germany,GMY,Turkey,TUR,640255,26986.0,1960
640,305,Austria,AUS,Turkey,TUR,640305,7923.0,1960
640,325,Italy,ITA,Turkey,TUR,640325,22000.0,1960
640,380,Sweden,SWD,Turkey,TUR,640380,199.0,1960
640,900,Australia,AUL,Turkey,TUR,640900,1474.0,1960
640,200,United Kingdom,UKG,Turkey,TUR,640200,4574.0,1960
640,645,Iraq,IRQ,Turkey,TUR,640645,14369.0,1960
645,800,Thailand,THI,Iraq,IRQ,645800,0.0,1960
645,2,United States of America,USA,Iraq,IRQ,6452,1786.0,1960
645,20,Canada,CAN,Iraq,IRQ,64520,269.0,1960
645,210,Netherlands,NTH,Iraq,IRQ,645210,2.0,1960
645,220,France,FRN,Iraq,IRQ,645220,7287.0,1960
645,255,Germany,GMY,Iraq,IRQ,645255,1417.0,1960
645,305,Austria,AUS,Iraq,IRQ,645305,141.0,1960
645,325,Italy,ITA,Iraq,IRQ,645325,541.0,1960
645,640,Turkey,TUR,Iraq,IRQ,645640,2185.0,1960
645,652,Syria,SYR,Iraq,IRQ,645652,7182.0,1960
645,663,Jordan,JOR,Iraq,IRQ,645663,104.0,1960
645,750,India,IND,Iraq,IRQ,645750,3.0,1960
651,220,France,FRN,Egypt,EGY,651220,3000.0,1960
651,200,United Kingdom,UKG,Egypt,EGY,651200,23283.0,1960
651,2,United States of America,USA,Egypt,EGY,6512,8884.0,1960
651,325,Italy,ITA,Egypt,EGY,651325,384.0,1960
651,255,Germany,GMY,Egypt,EGY,651255,2111.0,1960
652,220,France,FRN,Syria,SYR,652220,3290.0,1960
652,2,United States of America,USA,Syria,SYR,6522,17521.0,1960
652,255,Germany,GMY,Syria,SYR,652255,1084.0,1960
652,325,Italy,ITA,Syria,SYR,652325,277.0,1960
652,365,Russia,RUS,Syria,SYR,652365,0.0,1960
652,369,Ukraine,UKR,Syria,SYR,652369,0.0,1960
652,640,Turkey,TUR,Syria,SYR,652640,6044.0,1960
652,645,Iraq,IRQ,Syria,SYR,652645,5495.0,1960
652,651,Egypt,EGY,Syria,SYR,652651,9323.0,1960
652,732,South Korea,ROK,Syria,SYR,652732,0.0,1960
660,255,Germany,GMY,Lebanon,LEB,660255,1056.0,1960
660,2,United States of America,USA,Lebanon,LEB,6602,23394.0,1960
663,255,Germany,GMY,Jordan,JOR,663255,1741.0,1960
663,2,United States of America,USA,Jordan,JOR,6632,1228.0,1960
666,20,Canada,CAN,Israel,ISR,66620,176.0,1960
666,255,Germany,GMY,Israel,ISR,666255,2760.0,1960
670,255,Germany,GMY,Saudi Arabia,SAU,670255,14.0,1960
679,2,United States of America,USA,Yemen,YEM,6792,184.0,1960
690,255,Germany,GMY,Kuwait,KUW,690255,3.0,1960
690,200,United Kingdom,UKG,Kuwait,KUW,690200,29.0,1960
696,255,Germany,GMY,United Arab Emirates,UAE,696255,2.0,1960
700,2,United States of America,USA,Afghanistan,AFG,7002,293.0,1960
700,365,Russia,RUS,Afghanistan,AFG,700365,0.0,1960
700,770,Pakistan,PAK,Afghanistan,AFG,700770,28216.0,1960
701,365,Russia,RUS,Turkmenistan,TKM,701365,203702.0,1960
702,55,Grenada,GRN,Tajikistan,TAJ,70255,392.0,1960
704,2,United States of America,USA,Uzbekistan,UZB,7042,123.0,1960
705,255,Germany,GMY,Kazakhstan,KZK,705255,969.0,1960
705,365,Russia,RUS,Kazakhstan,KZK,705365,1097639.0,1960
705,2,United States of America,USA,Kazakhstan,KZK,7052,67.0,1960
710,560,South Africa,SAF,China,CHN,710560,2044.0,1960
710,220,France,FRN,China,CHN,710220,12720.0,1960
710,20,Canada,CAN,China,CHN,71020,35717.0,1960
710,210,Netherlands,NTH,China,CHN,710210,3.0,1960
710,211,Belgium,BEL,China,CHN,710211,131.0,1960
710,225,Switzerland,SWZ,China,CHN,710225,807.0,1960
710,255,Germany,GMY,China,CHN,710255,1023.0,1960
710,385,Norway,NOR,China,CHN,710385,477.0,1960
710,900,Australia,AUL,China,CHN,710900,13834.0,1960
710,2,United States of America,USA,China,CHN,7102,105384.0,1960
710,750,India,IND,China,CHN,710750,8480.0,1960
710,200,United Kingdom,UKG,China,CHN,710200,11328.0,1960
732,255,Germany,GMY,South Korea,ROK,732255,420.0,1960
740,255,Germany,GMY,Japan,JPN,740255,1530.0,1960
750,2,United States of America,USA,India,IND,7502,13910.0,1960
750,20,Canada,CAN,India,IND,75020,8781.0,1960
750,255,Germany,GMY,India,IND,750255,3379.0,1960
750,200,United Kingdom,UKG,India,IND,750200,190722.0,1960
770,820,Malaysia,MAL,Pakistan,PAK,770820,1880.0,1960
770,800,Thailand,THI,Pakistan,PAK,770800,910.0,1960
770,220,France,FRN,Pakistan,PAK,770220,43945.0,1960
770,2,United States of America,USA,Pakistan,PAK,7702,1970.0,1960
