"","country","bilateral_migration","export_trade_share","migrant_ratio","same_language","touching","Total_pop_left_conflict_zone","individualPerCountry","population","gdp_millions","percent_Refugees_of_Conflict","v2xeg_eqdr","v2x_libdem","remittances","percent_IndividualPerCountry_of_total","total_recored_migrants","percent_IndividualPerCountry_of_recorded","gdp_per_cap","normalized_pop","normalized_refugee","normalized_gdp","normalized_qrdp","normalized_lib","normalized_migr_ratio","normalized_bilateral_migr","normalized_export_trade","normalized_remittances","normalized_touching","normalized_same_language","Afghanistan","Burundi","Central African Republic","Democratic Republic of the Congo","Nigeria","Somalia","South Sudan","Syria","Ukraine","Venezuela"
"14","Democratic Republic of the Congo",41654,11.01,1.1,1,1,263736,40529,92377993,54832,0.153672612005945,0.181,0.037,1,0.153672612005945,263736,0.153672612005945,0.000593561282501559,1.19953531959193,-0.624955972788617,0.415267677001575,-1.02630506703839,-1.11342555331139,-1.34475167064916,-0.666740806624336,1.46946069354401,-0.893315544855382,0.5,0,0,1,0,0,0,0,0,0,0,0
"15","Democratic Republic of the Congo",275050,0.5,1.1,1,1,737973,210499,92377993,54832,0.285239432878981,0.181,0.037,0,0.285239432878981,735388,0.286242092609616,0.000593561282501559,1.61267808999565,0.470340559876038,1.18926351387247,-0.794544281991164,-0.548476914616123,-0.978268544825189,1.0307017478522,-0.395625092753314,-0.447213595499958,0,0.447213595499958,0,0,1,0,0,0,0,0,0,0
"16","Dominican Republic",19680,0,5.3,1,0,5041821,115283,10878246,89502,0.02286534964252,0.193,0.351,48,0.02286534964252,4946842,0.0233043626620782,0.00822761316484293,-0.565044095267417,-0.569367437991324,-0.599658186861789,-1.09425847186528,0.193948830254872,0.652109156023074,0.526831278504957,-0.693040980197184,-0.248512175161641,-0.583874208121142,0.449466574975495,0,0,0,0,0,0,0,0,0,1
"17","Ecuador",12695,0.02,2.2,1,0,5041821,508935,17715822,104483,0.100942695109565,0.241,0.07,64,0.100942695109565,4946842,0.1028807873791,0.00589772238623757,-0.460289420259946,0.100825701460309,-0.572075218854868,-0.8848461945384,-0.92243074948034,-0.597156137257084,0.0142951129407699,-0.468821839545154,-0.21688661997115,-0.583874208121142,0.449466574975495,0,0,0,0,0,0,0,0,0,1
"18","Egypt",174813,3.42,0.5,1,0,5721883,138853,102674145,396328,0.024267011401666,0.145,0.116,0,0.0242670114016662,5673335,0.0244746696607903,0.00386005649231362,1.24168562767503,-0.664903165465512,0.327638154927302,-1.38432874510917,-0.62358005410513,-0.862961087797207,-0.751364730024268,-0.537171896776382,-0.447213595499958,-1.78885438199983,0.447213595499958,0,0,0,0,0,0,0,1,0,0
"19","Eritrea",2472,0.01,0.5,0,0,633429,80,3600000,2254,0.000126296712023,0.636,0.008,0,0.000126296712022973,633429,0.000126296712022973,0.000626111111111111,-1.09076280829689,-1.05238091147771,-1.10620093568421,1.30805248182069,-1.23969425264653,-0.961300051038035,-1.10328588221452,-0.744446766711949,-0.447213595499958,-0.730296743340222,-0.730296743340222,0,0,0,0,0,1,0,0,0,0
"20","Ethiopia",417150,2.66,1.1,0,1,2351680,390612,117876227,92757,0.166099129133215,0.273,0.103,3,0.166099129133215,2351680,0.166099129133215,0.000786901671021418,1.42959002460982,-0.199273306186785,0.792218959875081,-0.397284087737528,-0.46161015945913,-0.910366477462605,0.245281604403332,1.78885241401479,-0.536567705461491,0,-1.78885438199983,0,0,0,0,0,0,1,0,0,0
"21","Ethiopia",475183,0.12,1.1,0,1,633429,228797,117876227,92757,0.361203860259003,0.273,0.103,1,0.361203860259003,633429,0.361203860259003,0.000786901671021418,1.59930977538805,0.848775314622888,0.849573002611918,-0.552539410424256,-0.485718874916568,-0.503538121972304,0.949269238504169,0.667435032224506,1.78885438199983,1.09544511501033,-0.730296743340222,0,0,0,0,0,1,0,0,0,0
"22","Guyana",2132,0,2,0,1,5041821,24500,743700,7395,0.004859355379733,0.669,0.379,4,0.00485935537973284,4946842,0.00495265464310362,0.00994352561516741,-0.720309802380328,-0.723925636041474,-0.750833325647205,0.982413278292971,0.305189500121726,-0.677753898113869,-0.760782842228093,-0.693040980197184,-0.335482451935491,1.55699788832305,-2.02259958738973,0,0,0,0,0,0,0,0,0,1
"23","Hungary",50222,3.48,5.3,0,1,4320000,404021,9750000,180959,0.09352337962963,0.85,0.766,87,0.0935233796296296,4287963,0.0942221283159393,0.0185598974358974,-0.367283112293104,-0.484732127334786,-0.281355904404488,0.0755186234405827,1.0277075998105,1.34160790757947,0.555939043564855,0.171299769685053,-0.2432258798998,0,0,0,0,0,0,0,0,0,0,1,0
